Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines,Event Date
18649486,The Drunken Botanist,India,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese",2019-03-06
308322,Hauz Khas Social,India,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",2019-03-29
18856789,AIR- An Ivory Region,India,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian",2019-04-10
307374,AMA Cafe,India,New Delhi,3252,4.4,"Cafe, Juices",NA
18238278,Tamasha,India,New Delhi,8112,4.4,"Finger Food, North Indian, Continental, Italian",NA
18268712,Chili's Grill & Bar,India,Noida,3702,4.6,"Mexican, American, Italian, Burger",NA
18198449,Punjabi Angithi,India,New Delhi,3613,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food",NA
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos",2019-04-10
18273624,Cafeteria & Co.,India,New Delhi,4229,4.5,"Continental, Mexican, Fast Food",NA
18466951,Jungle Jamboree,India,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ",2019-01-21
306046,SodaBottleOpenerWala,India,Gurgaon,3818,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",NA
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,1622,4.5,"Italian, Chinese, Continental",2019-04-10
18518483,Echoes Hudson Lane,India,New Delhi,2534,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian",NA
18246991,Odeon Social,India,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages",2019-03-29
8913,Pirates of Grill,India,Gurgaon,5760,4.9,"North Indian, Mughlai, Continental",NA
313256,The Junkyard Cafe,India,New Delhi,5512,4.5,"North Indian, Mediterranean, Asian, Salad, Momos",NA
18562836,Diggin,India,New Delhi,2335,4.2,"Italian, Continental, Beverages",NA
17953943,The Burger Club,India,New Delhi,2411,4.2,"Burger, Fast Food, Beverages",NA
18258498,Chinese Kitchen,India,New Delhi,713,4.1,"Fast Food, Chinese, Momos",NA
18537536,Chili's Grill & Bar,India,New Delhi,2364,4.6,"Mexican, American, Italian",NA
